"","date","cycle","amount","recipcode","occupation","employer","orgname","contribid"
"40886","06/17/2014",2014,750,"PB","SR. DIRECTOR, INFORMATION TECHNOLOGY","SVB FINANCIAL GROUP","","m0001530089 "
"40887","06/30/2014",2014,1000,"DL","GOVERNMENT AFFAIRS","GOLDMAN SACHS","[24T Contribution]","Y0000040293L"
"40888","06/29/2014",2014,200,"DL","PROJECT MANAGER","PNC BANK","[24T Contribution]","j1002223239 "
"40889","06/18/2014",2014,500,"DI","INSURANCE BROKER","WELLS FARGO","[24T Contribution]","n0001404190 "
"40890","06/30/2014",2014,1000,"DP","SOFTWARE","BANK OF AMERICA","[24T Contribution]","j10022578691"
"40891","06/02/2014",2014,250,"DL","INVESTMENT MANAGER","GOLDMAN SACHS","[24T Contribution]","m0001584653 "
"40892","06/17/2014",2014,500,"DW","BANKER","BANK OF AMERICA","[24T Contribution]","n0001390108 "
"40893","06/02/2014",2014,2000,"DL","FINANCIAL ADVISOR","MORGAN STANLEY","[24T Contribution]","i3003434318 "
"40894","06/23/2014",2014,500,"DW","BANKER","BB&T","[24T Contribution]","n0001391906 "
"40895","06/30/2014",2014,1000,"DW","ECONOMIST","CITI","[24T Contribution]","h3001801327 "
"40896","02/04/2013",2014,1000,"DP","FINANCIAL ADVISOR","MORGAN STANLEY","Morgan Stanley","g1101123950 "
"40897","06/17/2014",2014,200,"DL","ANALYST","BB&T","[24T Contribution]","m0001676383 "
"40898","06/29/2014",2014,250,"DP","TECHNOLOGY ANALYST","BANK OF AMERICA","[24T Contribution]","j1002253251 "
"40899","03/13/2013",2014,250,"DP","SUP FINANCE","BANK OF AMERICA","Bank of America","m0001134050 "
"40900","03/28/2013",2014,300,"DP","SUP FINANCE","BANK OF AMERICA","Bank of America","m0001134050 "
"40901","06/30/2014",2014,2600,"DL","BANKER","BB&T","[24T Contribution]","n0001408079@"
"40902","10/29/2014",2014,1000,"DP","INVESTMENTS","GOLDMAN SACHS","Goldman Sachs","n0001549646 "
