cycle,bank_name,share_donations_d,n_donations_all,dem_55,dem_60,share_donations_d_imp,n_donations_imp,dem_55_imp,dem_60_imp,dem_dollar,gop_dollar,gvkey_bank,kempf_share,kempf_dem
2012,Comerica Incorporated,0.07692307692307693,13,FALSE,FALSE,0,2,FALSE,FALSE,NA,NA,NA,NA,NA
2012,First Bank National Association,0.2441860465116279,86,FALSE,FALSE,0.07692307692307693,13,FALSE,FALSE,NA,NA,NA,NA,NA
2012,General Electric Capital Corporation,0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Goldman Sachs and Company,0.3863013698630137,365,FALSE,FALSE,0.5769230769230769,26,TRUE,NA,1966324,5623713,114628,0.25906645777879606,0
2012,Jefferies,0.18518518518518517,27,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,JP Morgan,0.3799126637554585,229,FALSE,FALSE,0.7,10,TRUE,TRUE,1942000,3415383,2968,0.3624904174295547,0
2012,Keybank,0.2222222222222222,27,FALSE,FALSE,0.2857142857142857,7,FALSE,FALSE,69964,197200,9783,0.26187660014073755,0
2012,Mandt Bank,0.52,25,NA,NA,0.625,8,TRUE,TRUE,162546,59161,4699,0.7331568240966682,1
2012,Morgan Stanley,0.3342857142857143,700,FALSE,FALSE,0.34210526315789475,38,FALSE,FALSE,1221372,3013792,12124,0.2883883599312801,0
2012,Northern Trust Corporation,0.6486486486486487,37,TRUE,TRUE,0.6666666666666666,3,TRUE,TRUE,168397,125475,7982,0.5730283933140959,1
2012,PNC Bank,0.5813953488372093,43,TRUE,NA,0.5555555555555556,9,TRUE,NA,185923,545551,8245,0.2541758148614988,0
2012,Regions Bank,0.2631578947368421,38,FALSE,FALSE,0.42857142857142855,7,FALSE,NA,261950,517967,4674,0.3358690732475379,0
2012,State Street Bank,0.2571428571428571,35,FALSE,FALSE,0.5,4,NA,NA,83370,299141,10035,0.21795451634070653,0
2012,SVB Financial Group,0.8333333333333334,6,TRUE,TRUE,1,1,TRUE,TRUE,68656,36666,17120,0.6518676060082413,1
2012,Truist Financial,0.234375,64,FALSE,FALSE,0,5,FALSE,FALSE,131570,774848,11856,0.14515378114732938,0
